url_anuncio,img_anuncio,categoria_anuncio,titulo_endereco,subtitulo_endereco,subtitulo_frase,preco,area_privativa,lista_detalhes,img_anunciante,nome_anunciante,creci,pagina
/imovel/apartamento-4-quartos-venda-noroeste-brasilia-df-sqnw-103-847600,https://img.dfimoveis.com.br/fotos/847600/d8541e175f229babfc95779bccd45842.jpg?format=webp,,"SQNW 103, NOROESTE, BRASILIA",,NOROESTE - SQNW 103 - ELEVE103 - LAZER COMPLETO - 4 SUÍTES - 2 VAGAS -  DESOCUPADO,2.890.000,175 m²,"175 m², 4 Quartos, 4 Suítes, 2 Vagas",https://img.dfimoveis.com.br/logos/2882/100x68/231e3862806c03e3e2d0858aaeb599c0.jpg?format=webp,Ariete Ribas Consultoria Imobiliária,25093,1
/imovel/apartamento-2-quartos-venda-noroeste-brasilia-df-clnw-4-5-lote-j-1012518,https://img.dfimoveis.com.br/fotos/1012518/8b24187e239626f2c64b7b1a969aab00.jpg?format=webp,,"CLNW 4/5 Lote J, NOROESTE, BRASILIA",,MEIO VAZADO COM VISTA LIVRE,1.150.000,75 m²,"75 m², 2 Quartos, 1 Suíte, 1 Vaga",https://img.dfimoveis.com.br/logos/2648/100x68/60587c48a7d10742049d8c8db8a6c39d.jpg?format=webp,Daleprane Inteligência Imobiliária,25937,1
/imovel/hotel-flat-1-quarto-venda-noroeste-brasilia-df-crnw-710-lote-c-984999,https://img.dfimoveis.com.br/fotos/984999/c12a262030388327ac43f7b619f19976.jpg?format=webp,,"CRNW 710 Lote C, NOROESTE, BRASILIA",,,675.000,42 m²,"42 m², 1 Quarto, 1 Suíte, 1 Vaga",https://img.dfimoveis.com.br/logos/7059/100x68/26d56f1033cb9bcc4ee57803b0d9be52.png?format=webp,BRASAL,11091,1
/imovel/apartamento-4-quartos-venda-noroeste-brasilia-df-sqnw-102-bloco-i-506197,https://img.dfimoveis.com.br/fotos/506197/fa02c9308e10692e99331f676b7bb1c0.jpg?format=webp,* Imóvel Seguro 20/06/2022,"SQNW 102 Bloco I, NOROESTE, BRASILIA",,"OPORTUNIDADE 100% REFORMADO, ANDAR ALTO NASCENTE VISTA LIVRE COM 4 VAGAS ! EXCELENTE QUADRA!",2.650.000,170 m²,"170 m², 4 Quartos, 3 Suítes, 4 Vagas",https://img.dfimoveis.com.br/logos/946/100x68/fd0d48183318c87ae0302626cd19fb41.jpg?format=webp,Macedo Imoveis,11670,1
/imovel/apartamento-1-quarto-venda-noroeste-brasilia-df-sqnw-307-bloco-a-1013232,https://img.dfimoveis.com.br/fotos/1013232/0b91175868f59e4d33cc2b84afecfd47.jpg?format=webp,Super Destaque,"SQNW 307 Bloco A, NOROESTE, BRASILIA",,RESIDENCE AUDACE MOBILADO,1.990.000,151 m²,"151 m², 1 Quarto, 1 Suíte, 2 Vagas",https://img.dfimoveis.com.br/logos/8578/100x68/2e84e95caa111a7ac5e46e4a4ca2801e.jpg?format=webp,Elias Junior Assessoria Imobiliária,25139,1
/imovel/apartamento-3-quartos-venda-noroeste-brasilia-df-sqnw-306-bloco-i-1045517,https://img.dfimoveis.com.br/fotos/1045517/60a45bd7fa96b0e68119e0569921ba3a.jpg?format=webp,,"SQNW 306 Bloco I, NOROESTE, BRASILIA",,SQNW 306 - RESERVA 22 -3 QUATOS -NOROESTE,2.090.000,126 m²,"126 m², 3 Quartos, 1 Suíte, 2 Vagas",https://img.dfimoveis.com.br/logos/297/100x68/0741621d150da6d9db4b1a6b91d2e16f.jpg?format=webp,Smart Imob,24786,1
/imovel/apartamento-4-quartos-venda-noroeste-brasilia-df-sqnw-106-bloco-c-781094,https://img.dfimoveis.com.br/fotos/781094/9236e9a4ea7353010d4b2c8be928b99a.jpg?format=webp,Super Destaque,"SQNW 106 Bloco C, NOROESTE, BRASILIA",,,3.102.975,200 m²,"200 m², 4 Quartos, 4 Suítes, 4 Vagas",https://img.dfimoveis.com.br/logos/1486/100x68/5d52789c7c0bbd51026de82edca675c9.png?format=webp,Cristiano e Cilas Negócios Imobiliários ,17643,1
/imovel/apartamento-2-quartos-venda-noroeste-brasilia-df-clnw-4-5-lote-j-953978,https://img.dfimoveis.com.br/fotos/953978/264264b199bf394fac480a1cdda11c49.jpg?format=webp,,"CLNW 4/5 Lote J, NOROESTE, BRASILIA",,", MANDARIM BY VILLAS BOAS CLNW 4/5 - Apartamento de meio, vista livre, 2 quartos sendo, 1 suíte com 59,28m².",848.297,59 m²,"59 m², 2 Quartos, 1 Suíte, 1 Vaga",https://img.dfimoveis.com.br/logos/167/100x68/bc851b290ec8d6b1654165c3c561632d.png?format=webp,61 Imóveis,21418,1
/imovel/apartamento-3-quartos-venda-noroeste-brasilia-df-sqnw-109-bloco-h-852350,https://img.dfimoveis.com.br/fotos/852350/57c64929becbf43ff0810682ead7693c.jpg?format=webp,Super Destaque,"SQNW 109 Bloco H, NOROESTE, BRASILIA",,COBERTURA COM VISTA LIVRE NOROESTE,2.699.000,225 m²,"225 m², 3 Quartos, 1 Suíte, 3 Vagas",https://img.dfimoveis.com.br/logos/704/100x68/146ed7a1cb0c8f6626802e6febdf9d2c.jpg?format=webp,RE/MAX Pater,22905,1
/imovel/apartamento-2-quartos-venda-noroeste-brasilia-df-sqnw-108-bloco-g-1030574,https://img.dfimoveis.com.br/fotos/1030574/9c619a4d4e89a9536d9c6a0852342381.jpg?format=webp,Super Destaque,"SQNW 108 Bloco G, NOROESTE, BRASILIA",,Excelente oportunidade,1.160.000,73 m²,"73 m², 2 Quartos, 1 Suíte, 1 Vaga",https://img.dfimoveis.com.br/logos/3958/100x68/33d86ad402e869d9c7e3ba77e8a23717.jpg?format=webp,Gabriel Silva - My House,26962,1
/imovel/apartamento-4-quartos-venda-noroeste-brasilia-df-sqnw-102-823366,https://img.dfimoveis.com.br/fotos/823366/557a3d997e28075a9eeefb64d3009c07.jpg?format=webp,,"SQNW 102, NOROESTE, BRASILIA",,"Apartamento à venda, 220 m² por R$ 3.490.000,00 - Noroeste - Brasília/DF",3.490.000,220 m²,"220 m², 4 Quartos, 3 Suítes, 4 Vagas",https://img.dfimoveis.com.br/logos/223/100x68/1a8c046b6682688738f30afa3a6a0ed9.jpg?format=webp,SPR Imóveis,3220,1
/imovel/apartamento-4-quartos-venda-noroeste-brasilia-df-sqnw-309-bloco-f-985054,https://img.dfimoveis.com.br/fotos/985054/ec5904eff364227da62a3a3c3dce3a32.jpg?format=webp,Assinado Villela e Carvalho,"SQNW 309 Bloco F, NOROESTE, BRASILIA",,CANTO - VAZADO - ANDAR ALTO - VISTA LIVRE PARA O VERDE - Vista Livre - Vazado - Alto Padrão - Varanda com espaço Gourmet - Ar Condicionado,2.900.000,170 m²,"170 m², 4 Quartos, 2 Suítes, 4 Vagas",https://img.dfimoveis.com.br/logos/2156/100x68/422d49a948a5352e71e8342b27d2bf48.jpg?format=webp,Kontá Imóveis ,26203,1
/imovel/apartamento-2-quartos-venda-noroeste-brasilia-df-sqnw-104-bloco-j-1055256,https://img.dfimoveis.com.br/fotos/1055256/977b3d8c6ae9c25b1aa5442c0c4cf4f8.jpg?format=webp,Super Destaque,"SQNW 104 Bloco J, NOROESTE, BRASILIA",,", Reserva Esplanada Mobiliado, porteira fechada, piscina aquecida, alto padrão, automação.",4.840.000,280 m²,"280 m², 2 Quartos, 1 Suíte, 3 Vagas",https://img.dfimoveis.com.br/logos/7967/100x68/c438ae8d3c5cbc2e927f9a102de9f360.png?format=webp,Ana Monteiro G,29064,1
